month,monthNum,dayOfMonth,tideTime,tideHeight,date,tideDateTimeAus,high_low,high_low_1_2
March,3,15,02:30,1.64,15/03/2023,2023-03-15 02:30:00,High,High1
March,3,15,09:27,0.66,15/03/2023,2023-03-15 09:27:00,Low,Low1
March,3,15,15:20,1.22,15/03/2023,2023-03-15 15:20:00,High,High2
March,3,15,20:47,0.78,15/03/2023,2023-03-15 20:47:00,Low,Low2
March,3,16,03:45,1.65,16/03/2023,2023-03-16 03:45:00,High,High1
March,3,16,10:51,0.62,16/03/2023,2023-03-16 10:51:00,Low,Low1
March,3,16,16:53,1.23,16/03/2023,2023-03-16 16:53:00,High,High2
March,3,16,22:15,0.78,16/03/2023,2023-03-16 22:15:00,Low,Low2
March,3,17,05:03,1.7,17/03/2023,2023-03-17 05:03:00,High,High1
March,3,17,12:04,0.52,17/03/2023,2023-03-17 12:04:00,Low,Low1
March,3,17,18:11,1.31,17/03/2023,2023-03-17 18:11:00,High,High2
March,3,17,23:35,0.72,17/03/2023,2023-03-17 23:35:00,Low,Low2
March,3,18,06:13,1.8,18/03/2023,2023-03-18 06:13:00,High,High1
March,3,18,13:03,0.41,18/03/2023,2023-03-18 13:03:00,Low,Low1
March,3,18,19:11,1.42,18/03/2023,2023-03-18 19:11:00,High,High2
March,3,19,00:41,0.61,19/03/2023,2023-03-19 00:41:00,Low,Low1
March,3,19,07:12,1.9,19/03/2023,2023-03-19 07:12:00,High,High1
March,3,19,13:54,0.32,19/03/2023,2023-03-19 13:54:00,Low,Low2
March,3,19,20:00,1.54,19/03/2023,2023-03-19 20:00:00,High,High2
March,3,20,01:39,0.51,20/03/2023,2023-03-20 01:39:00,Low,Low1
March,3,20,08:05,1.96,20/03/2023,2023-03-20 08:05:00,High,High1
March,3,20,14:39,0.26,20/03/2023,2023-03-20 14:39:00,Low,Low2
March,3,20,20:47,1.65,20/03/2023,2023-03-20 20:47:00,High,High2
March,3,21,02:32,0.42,21/03/2023,2023-03-21 02:32:00,Low,Low1
March,3,21,08:55,1.97,21/03/2023,2023-03-21 08:55:00,High,High1
March,3,21,15:20,0.24,21/03/2023,2023-03-21 15:20:00,Low,Low2
March,3,21,21:31,1.73,21/03/2023,2023-03-21 21:31:00,High,High2
March,3,22,03:23,0.38,22/03/2023,2023-03-22 03:23:00,Low,Low1
March,3,22,09:43,1.92,22/03/2023,2023-03-22 09:43:00,High,High1
March,3,22,16:00,0.27,22/03/2023,2023-03-22 16:00:00,Low,Low2
March,3,22,22:14,1.8,22/03/2023,2023-03-22 22:14:00,High,High2
March,3,23,04:15,0.38,23/03/2023,2023-03-23 04:15:00,Low,Low1
March,3,23,10:29,1.82,23/03/2023,2023-03-23 10:29:00,High,High1
March,3,23,16:38,0.34,23/03/2023,2023-03-23 16:38:00,Low,Low2
March,3,23,22:56,1.83,23/03/2023,2023-03-23 22:56:00,High,High2
March,3,24,05:05,0.41,24/03/2023,2023-03-24 05:05:00,Low,Low1
March,3,24,11:14,1.68,24/03/2023,2023-03-24 11:14:00,High,High1
March,3,24,17:14,0.44,24/03/2023,2023-03-24 17:14:00,Low,Low2
March,3,24,23:37,1.82,24/03/2023,2023-03-24 23:37:00,High,High2
March,3,25,05:56,0.48,25/03/2023,2023-03-25 05:56:00,Low,Low1
March,3,25,11:59,1.53,25/03/2023,2023-03-25 11:59:00,High,High1
March,3,25,17:48,0.55,25/03/2023,2023-03-25 17:48:00,Low,Low2
March,3,26,00:17,1.78,26/03/2023,2023-03-26 00:17:00,High,High1
March,3,26,06:48,0.56,26/03/2023,2023-03-26 06:48:00,Low,Low1
March,3,26,12:45,1.38,26/03/2023,2023-03-26 12:45:00,High,High2
March,3,26,18:22,0.67,26/03/2023,2023-03-26 18:22:00,Low,Low2
March,3,27,00:59,1.72,27/03/2023,2023-03-27 00:59:00,High,High1
March,3,27,07:43,0.64,27/03/2023,2023-03-27 07:43:00,Low,Low1
March,3,27,13:33,1.26,27/03/2023,2023-03-27 13:33:00,High,High2
March,3,27,18:59,0.78,27/03/2023,2023-03-27 18:59:00,Low,Low2
March,3,28,01:44,1.64,28/03/2023,2023-03-28 01:44:00,High,High1
March,3,28,08:44,0.7,28/03/2023,2023-03-28 08:44:00,Low,Low1
March,3,28,14:33,1.18,28/03/2023,2023-03-28 14:33:00,High,High2
March,3,28,19:46,0.86,28/03/2023,2023-03-28 19:46:00,Low,Low2
March,3,29,02:37,1.57,29/03/2023,2023-03-29 02:37:00,High,High1
March,3,29,09:52,0.74,29/03/2023,2023-03-29 09:52:00,Low,Low1
March,3,29,15:54,1.15,29/03/2023,2023-03-29 15:54:00,High,High2
March,3,29,20:57,0.92,29/03/2023,2023-03-29 20:57:00,Low,Low2
March,3,30,03:45,1.52,30/03/2023,2023-03-30 03:45:00,High,High1
March,3,30,11:02,0.73,30/03/2023,2023-03-30 11:02:00,Low,Low1
March,3,30,17:20,1.19,30/03/2023,2023-03-30 17:20:00,High,High2
March,3,30,22:22,0.92,30/03/2023,2023-03-30 22:22:00,Low,Low2
March,3,31,04:58,1.52,31/03/2023,2023-03-31 04:58:00,High,High1
