dateTimeAus,tideCategory,tideCategoryHeight
2023-02-28 21:38:00,Low,0.82
2023-03-01 01:07:00,Rising,
2023-03-01 04:36:00,High,1.54
2023-03-01 08:14:00,Falling,
2023-03-01 11:52:00,Low,0.72
2023-03-01 14:50:00,Rising,
2023-03-01 17:48:00,High,1.13
2023-03-01 20:20:30,Falling,
2023-03-01 22:53:00,Low,0.84
2023-03-02 02:17:30,Rising,
2023-03-02 05:42:00,High,1.55
2023-03-02 09:16:30,Falling,
2023-03-02 12:51:00,Low,0.67
2023-03-02 15:51:00,Rising,
2023-03-02 18:51:00,High,1.2
2023-03-02 21:26:30,Falling,
2023-03-03 00:02:00,Low,0.81
2023-03-03 03:20:30,Rising,
2023-03-03 06:39:00,High,1.6
2023-03-03 10:07:30,Falling,
2023-03-03 13:36:00,Low,0.6
2023-03-03 16:36:30,Rising,
2023-03-03 19:37:00,High,1.27
2023-03-03 22:17:30,Falling,
2023-03-04 00:58:00,Low,0.75
2023-03-04 04:12:00,Rising,
2023-03-04 07:26:00,High,1.66
2023-03-04 10:49:30,Falling,
2023-03-04 14:13:00,Low,0.54
2023-03-04 17:13:30,Rising,
2023-03-04 20:14:00,High,1.34
2023-03-04 22:58:00,Falling,
2023-03-05 01:42:00,Low,0.68
2023-03-05 04:54:30,Rising,
2023-03-05 08:07:00,High,1.71
2023-03-05 11:26:00,Falling,
2023-03-05 14:45:00,Low,0.49
2023-03-05 17:46:00,Rising,
2023-03-05 20:47:00,High,1.41
2023-03-05 23:34:00,Falling,
2023-03-06 02:21:00,Low,0.62
2023-03-06 05:33:00,Rising,
2023-03-06 08:45:00,High,1.75
2023-03-06 12:00:00,Falling,
2023-03-06 15:15:00,Low,0.45
2023-03-06 18:17:00,Rising,
2023-03-06 21:19:00,High,1.46
2023-03-07 00:08:00,Falling,
2023-03-07 02:57:00,Low,0.57
2023-03-07 06:07:30,Rising,
2023-03-07 09:18:00,High,1.77
2023-03-07 12:31:00,Falling,
2023-03-07 15:44:00,Low,0.42
2023-03-07 18:47:00,Rising,
2023-03-07 21:50:00,High,1.51
2023-03-08 00:41:00,Falling,
2023-03-08 03:32:00,Low,0.54
2023-03-08 06:42:00,Rising,
2023-03-08 09:52:00,High,1.77
2023-03-08 13:02:00,Falling,
2023-03-08 16:12:00,Low,0.41
2023-03-08 19:16:30,Rising,
2023-03-08 22:21:00,High,1.57
2023-03-09 01:15:00,Falling,
2023-03-09 04:09:00,Low,0.53
2023-03-09 07:17:00,Rising,
2023-03-09 10:25:00,High,1.74
2023-03-09 13:32:30,Falling,
2023-03-09 16:40:00,Low,0.42
2023-03-09 19:47:00,Rising,
2023-03-09 22:54:00,High,1.61
2023-03-10 01:50:30,Falling,
2023-03-10 04:47:00,Low,0.53
2023-03-10 07:53:30,Rising,
2023-03-10 11:00:00,High,1.68
2023-03-10 14:04:00,Falling,
2023-03-10 17:08:00,Low,0.45
2023-03-10 20:18:00,Rising,
2023-03-10 23:28:00,High,1.65
2023-03-11 02:28:30,Falling,
2023-03-11 05:29:00,Low,0.55
2023-03-11 08:32:30,Rising,
2023-03-11 11:36:00,High,1.6
2023-03-11 14:37:00,Falling,
2023-03-11 17:38:00,Low,0.49
2023-03-11 20:50:30,Rising,
2023-03-12 00:03:00,High,1.67
2023-03-12 03:09:00,Falling,
2023-03-12 06:15:00,Low,0.58
2023-03-12 09:15:00,Rising,
2023-03-12 12:15:00,High,1.5
2023-03-12 15:13:00,Falling,
2023-03-12 18:11:00,Low,0.56
2023-03-12 21:27:30,Rising,
2023-03-13 00:44:00,High,1.67
2023-03-13 03:55:30,Falling,
2023-03-13 07:07:00,Low,0.62
2023-03-13 10:04:30,Rising,
2023-03-13 13:02:00,High,1.39
2023-03-13 15:55:30,Falling,
2023-03-13 18:49:00,Low,0.64
2023-03-13 22:09:30,Rising,
2023-03-14 01:30:00,High,1.65
2023-03-14 04:50:00,Falling,
2023-03-14 08:10:00,Low,0.66
2023-03-14 11:05:30,Rising,
2023-03-14 14:01:00,High,1.29
2023-03-14 16:49:30,Falling,
2023-03-14 19:38:00,Low,0.72
2023-03-14 23:04:00,Rising,
2023-03-15 02:30:00,High,1.64
2023-03-15 05:58:30,Falling,
2023-03-15 09:27:00,Low,0.66
2023-03-15 12:23:30,Rising,
2023-03-15 15:20:00,High,1.22
2023-03-15 18:03:30,Falling,
2023-03-15 20:47:00,Low,0.78
2023-03-16 00:16:00,Rising,
2023-03-16 03:45:00,High,1.65
2023-03-16 07:18:00,Falling,
2023-03-16 10:51:00,Low,0.62
2023-03-16 13:52:00,Rising,
2023-03-16 16:53:00,High,1.23
2023-03-16 19:34:00,Falling,
2023-03-16 22:15:00,Low,0.78
2023-03-17 01:39:00,Rising,
2023-03-17 05:03:00,High,1.7
2023-03-17 08:33:30,Falling,
2023-03-17 12:04:00,Low,0.52
2023-03-17 15:07:30,Rising,
2023-03-17 18:11:00,High,1.31
2023-03-17 20:53:00,Falling,
2023-03-17 23:35:00,Low,0.72
2023-03-18 02:54:00,Rising,
2023-03-18 06:13:00,High,1.8
2023-03-18 09:38:00,Falling,
2023-03-18 13:03:00,Low,0.41
2023-03-18 16:07:00,Rising,
2023-03-18 19:11:00,High,1.42
2023-03-18 21:56:00,Falling,
2023-03-19 00:41:00,Low,0.61
2023-03-19 03:56:30,Rising,
2023-03-19 07:12:00,High,1.9
2023-03-19 10:33:00,Falling,
2023-03-19 13:54:00,Low,0.32
2023-03-19 16:57:00,Rising,
2023-03-19 20:00:00,High,1.54
2023-03-19 22:49:30,Falling,
2023-03-20 01:39:00,Low,0.51
2023-03-20 04:52:00,Rising,
2023-03-20 08:05:00,High,1.96
2023-03-20 11:22:00,Falling,
2023-03-20 14:39:00,Low,0.26
2023-03-20 17:43:00,Rising,
2023-03-20 20:47:00,High,1.65
2023-03-20 23:39:30,Falling,
2023-03-21 02:32:00,Low,0.42
2023-03-21 05:43:30,Rising,
2023-03-21 08:55:00,High,1.97
2023-03-21 12:07:30,Falling,
2023-03-21 15:20:00,Low,0.24
2023-03-21 18:25:30,Rising,
